accession	domain	order	family	genus	species	name	locus
GCF_003325395.1	Bac	186826	33958	1578	1590	Lactobacillus_plantarum	['NZ_CP030881', 'NZ_CP030882', 'NZ_CP030883']
GCF_001275365.1	Bac	72273	34064	262	954	Francisella_persica	['NZ_CP012505']
GCF_003812785.1	Bac	85009	31957	1912216	1747	Cutibacterium_acnes	['NZ_CP033842']
GCF_003956265.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP025851', 'NZ_CP025852', 'NZ_CP025853', 'NZ_CP025854', 'NZ_CP025855']
GCF_000968175.1	Bac	91347	1903414	626	40577	Xenorhabdus_poinarii	['NZ_FO704551']
GCF_003228315.1	Bac	72274	135621	286	303	Pseudomonas_putida	['NZ_CP029693']
GCF_900637625.1	Bac	85004	31953	2701	2702	Gardnerella_vaginalis	['NZ_LR134385']
GCF_002057455.1	Bac	85012	2004	83681	1909395	Nonomuraea_sp._ATCC_55076	['NZ_CP017717']
GCF_002998355.1	Bac	NO RANK	NO RANK	NO RANK	2094242	Victivallales_bacterium_CCUG_44730	['NZ_CP027227']
GCF_002243365.1	Bac	356	82115	379	384	Rhizobium_leguminosarum	['NZ_CP022665', 'NZ_CP022666', 'NZ_CP022667', 'NZ_CP022668', 'NZ_CP022669', 'NZ_CP022670', 'NZ_CP022671']
GCF_900119795.1	Bac	200644	49546	104267	107401	Tenacibaculum_maritimum	['NZ_LT634361']
GCF_900343015.1	Bac	91347	1903414	637	235559	Arsenophonus_endosymbiont_of_Aleurodicus_dispersus	['NZ_LR025108']
GCF_900638815.1	Bac	186826	81852	1350	1352	Enterococcus_faecium	['NZ_LR135179', 'NZ_LR135180']
GCF_002846975.1	Bac	91347	1903410	204037	1089444	Dickeya_solani	['NZ_CP017453']
GCF_002024865.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP019777']
GCF_002448095.1	Bac	85007	1762	1763	1773	Mycobacterium_tuberculosis	['NZ_CP023634']
GCF_001887265.1	Bac	356	2036754	28209	444444	Chelatococcus_daeguensis	['NZ_CP018095', 'NZ_CP018096']
GCF_000764555.1	Bac	72273	34064	262	1547445	Francisella_sp._FSC1006	['NZ_CP009574']
GCF_001610975.1	Bac	204457	41297	165697	33052	Sphingopyxis_terrae	['NZ_CP013342', 'NZ_CP013343']
GCF_001753325.1	Bac	118969	444	445	446	Legionella_pneumophila	['NZ_CP015951', 'NZ_CP015952']
GCF_002289205.1	Bac	186826	1300	1301	1311	Streptococcus_agalactiae	['NZ_CP022537']
GCF_002302595.1	Bac	200644	49546	1016	1019	Capnocytophaga_sputigena	['NZ_CP022383']
GCF_004006335.1	Bac	72274	135621	286	317	Pseudomonas_syringae	['NZ_CP024646']
GCF_003955905.1	Bac	85007	1653	1716	1719	Corynebacterium_pseudotuberculosis	['NZ_CP034410']
GCF_001987555.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP011745']
GCF_000733715.2	Bac	72274	135621	286	300	Pseudomonas_mendocina	['NZ_CP013124', 'NZ_CP013125']
GCF_000723505.1	Bac	171549	171550	1611681	1433126	Mucinivorans_hirudinis	['NZ_HG934468']
GCF_002105775.1	Bac	85006	85017	157920	1980001	Cellulosimicrobium_sp._TH-20	['NZ_CP020857']
GCF_002286275.1	Bac	186826	33958	1578	1590	Lactobacillus_plantarum	['NZ_CP017066', 'NZ_CP017067', 'NZ_CP017068']
GCF_001280405.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP012631', 'NZ_CP012632']
GCF_003515245.1	Bac	80840	119060	48736	305	Ralstonia_solanacearum	['NZ_CP022755', 'NZ_CP022756']
GCF_002202095.1	Bac	1385	90964	1279	1280	Staphylococcus_aureus	['NZ_CP021907', 'NZ_CP021908']
GCF_003952225.1	Bac	1385	186822	44249	2495582	Paenibacillus_sp._18JY67-1	['NZ_CP034437']
GCF_000829015.1	Bac	186802	31979	1485	1491	Clostridium_botulinum	['NZ_AP014696']
GCF_002948565.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP026751', 'NZ_CP026752', 'NZ_CP026753']
GCF_900119315.1	Bac	85008	28056	1865	134676	Actinoplanes_sp._SE50/110	['NZ_LT827010']
GCF_003071365.1	Bac	356	NO RANK	1484898	2170729	Methyloceanibacter_sp._wino2	['NZ_CP028960']
GCF_001806385.1	Bac	72274	468	469	470	Acinetobacter_baumannii	['NZ_CP017646', 'NZ_CP017647']
GCF_001697925.1	Bac	206351	481	482	487	Neisseria_meningitidis	['NZ_CP016675']
GCF_002966615.1	Bac	135625	712	724	727	Haemophilus_influenzae	['NZ_CP020008']
GCF_000521765.1	Bac	135625	712	476528	47735	Bibersteinia_trehalosi	['NZ_CP006956']
GCF_001697725.1	Bac	206351	481	482	487	Neisseria_meningitidis	['NZ_CP016665']
GCF_001664265.1	Bac	356	82115	379	1967781	Rhizobium_esperanzae	['NZ_CP013500', 'NZ_CP013501', 'NZ_CP013502', 'NZ_CP013503', 'NZ_CP013504']
GCF_001900185.1	Bac	1385	90964	1279	1280	Staphylococcus_aureus	['NZ_CP018205']
GCF_000336465.1	Bac	72274	135621	286	200451	Pseudomonas_poae	['NC_020209']
GCF_000147775.2	Bac	356	82115	28105	382	Sinorhizobium_meliloti	['NC_017322', 'NC_017324', 'NC_017323']
GCF_002966735.1	Bac	135625	712	724	727	Haemophilus_influenzae	['NZ_CP020014']
GCF_001587135.1	Bac	80840	119060	48736	305	Ralstonia_solanacearum	['NZ_CP012939', 'NZ_CP012941', 'NZ_CP012942', 'NZ_CP012940']
GCF_003597595.1	Bac	186826	33958	1578	1590	Lactobacillus_plantarum	['NZ_CP032464', 'NZ_CP032465']
GCF_001536925.1	Bac	1385	186817	1386	492670	Bacillus_velezensis	['NZ_LN999829', 'NZ_LN999830']
GCF_001272655.2	Bac	1385	186822	44249	59893	Paenibacillus_peoriae	['NZ_CP011512', 'NZ_CP011513']
GCF_000145255.1	Bac	32003	90627	96	370405	Gallionella_capsiferriformans	['NC_014394']
GCF_003352105.1	Bac	204455	31989	60136	1389011	Sulfitobacter_sp._SK025	['NZ_CP025808', 'NZ_CP025809', 'NZ_CP025810', 'NZ_CP025811', 'NZ_CP025812', 'NZ_CP025813', 'NZ_CP025814']
GCF_003667925.1	Bac	356	82115	357	358	Agrobacterium_tumefaciens	['NZ_CP033027', 'NZ_CP033028', 'NZ_CP033029', 'NZ_CP033030']
GCF_900187185.1	Bac	200644	49546	59732	536441	Chryseobacterium_taklimakanense	['NZ_LT906465']
GCF_000988465.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP011324']
GCF_001509195.1	Bac	2085	2092	2093	2104	Mycoplasma_pneumoniae	['NZ_CP013829']
GCF_002128305.1	Bac	85011	2062	1883	1109743	Streptomyces_sp._SCSIO_03032	['NZ_CP021121']
GCF_002057245.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP020106']
GCF_001987115.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP011723']
GCF_001551895.1	Bac	356	82115	357	358	Agrobacterium_tumefaciens	['NZ_CP014259', 'NZ_CP014260']
GCF_000013565.1	Bac	204455	31989	188905	290400	Jannaschia_sp._CCS1	['NC_007802', 'NC_007801']
GCF_001693295.1	Bac	1890424	1890426	1129	195248	Synechococcus_sp._PCC_8807	['NZ_CP016483', 'NZ_CP016484', 'NZ_CP016485', 'NZ_CP016486', 'NZ_CP016487', 'NZ_CP016488', 'NZ_CP016489']
GCF_001950995.1	Bac	766	775	780	783	Rickettsia_rickettsii	['NZ_CP018913']
GCF_002759295.1	Bac	135614	32033	338	346	Xanthomonas_citri	['NZ_CP020981', 'NZ_CP020982']
GCF_001548115.1	Bac	1118	1890464	669357	1617448	Geminocystis_sp._NIES-3709	['NZ_AP014821', 'NZ_AP014822', 'NZ_AP014823', 'NZ_AP014824', 'NZ_AP014825', 'NZ_AP014826', 'NZ_AP014827', 'NZ_AP014828', 'NZ_AP014829', 'NZ_AP014830', 'NZ_AP014831', 'NZ_AP014832']
GCF_000014725.1	Bac	186802	68298	862	863	Syntrophomonas_wolfei	['NC_008346']
GCF_003665395.1	Bac	1385	186817	1386	1423	Bacillus_subtilis	['NZ_CP032872', 'NZ_CP032873', 'NZ_CP032874']
GCF_000967345.1	Bac	1385	90964	1279	1280	Staphylococcus_aureus	['NC_020564', 'NC_020531']
GCF_000302535.1	Bac	80840	80864	12916	358220	Acidovorax_sp._KKS102	['NC_018708']
GCF_002998175.1	Bac	51291	809	810	83560	Chlamydia_muridarum	['NZ_CP027207']
GCF_001890165.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP016010', 'NZ_CP016011']
GCF_000025745.1	Bac	91347	543	561	562	Escherichia_coli	['NC_017628']
GCF_001708245.1	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP016813']
GCF_000022665.1	Bac	91347	543	561	562	Escherichia_coli	['NC_012971']
GCF_000829155.1	Bac	200644	NO RANK	336809	336810	Candidatus_Sulcia_muelleri	['NZ_AP013293']
GCF_001596075.2	Bac	91347	543	570	1463165	Klebsiella_quasipneumoniae	['NZ_CP014696', 'NZ_CP014697', 'NZ_CP014698']
GCF_003226675.1	Bac	526525	128827	1647	1648	Erysipelothrix_rhusiopathiae	['NZ_CP029804']
GCF_002859105.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP025251', 'NZ_CP025252', 'NZ_CP025253']
GCF_003718415.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP029962', 'NZ_CP029963']
GCF_001006005.1	Bac	91347	1903411	613	47917	Serratia_fonticola	['NZ_CP011254']
GCF_001701425.2	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP027042', 'NZ_CP027043', 'NZ_CP027045', 'NZ_CP027044', 'NZ_CP027047', 'NZ_CP027046']
GCF_000521565.1	Bac	91347	1903409	32199	9	Buchnera_aphidicola	['NZ_CP002701', 'NZ_CP002702']
GCF_000017785.1	Bac	72273	34064	262	263	Francisella_tularensis	['NC_009749']
GCF_002954055.1	Bac	1385	90964	1279	1282	Staphylococcus_epidermidis	['NZ_CP014132', 'NZ_CP014130', 'NZ_CP014131']
GCF_003589845.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP032393', 'NZ_CP032395', 'NZ_CP032394']
GCF_000008745.1	Bac	51291	809	810	83558	Chlamydia_pneumoniae	['NC_000922']
GCF_001007105.1	Bac	51291	809	810	83558	Chlamydia_pneumoniae	['NZ_LN846996']
GCF_001683455.1	Bac	85007	1762	1763	1764	Mycobacterium_avium	['NZ_CP016396']
GCF_003031385.1	Bac	135614	32033	338	347	Xanthomonas_oryzae	['NZ_CP025610']
GCF_002165245.2	Bac	72274	468	469	40215	Acinetobacter_junii	['NZ_CP028800', 'NZ_CP028798', 'NZ_CP028799']
GCF_001274535.1	Bac	203491	1129771	32067	712357	Leptotrichia_sp._oral_taxon_212	['NZ_CP012410']
GCF_001989135.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP013896']
GCF_002286235.1	Bac	186826	33958	1578	47715	Lactobacillus_rhamnosus	['NZ_CP017063']
GCF_002197325.1	Bac	186826	1300	1301	1311	Streptococcus_agalactiae	['NZ_CP021868']
GCF_002591275.1	Bac	200644	49546	59732	253	Chryseobacterium_indologenes	['NZ_CP023968']
GCF_002208175.1	Bac	80840	119060	32008	28095	Burkholderia_gladioli	['NZ_CP022005', 'NZ_CP022006', 'NZ_CP022007', 'NZ_CP022008', 'NZ_CP022009']
GCF_000600055.1	Bac	356	118882	234	29461	Brucella_suis	['NZ_CP006961', 'NZ_CP006962']
GCF_002163585.1	Bac	91347	1903409	82986	53336	Tatumella_citrea	['NZ_CP015579', 'NZ_CP015580']
GCF_003482305.1	Bac	186802	186804	1870884	1496	Clostridioides_difficile	['NZ_CP016104']
GCF_003814385.1	Bac	186826	1300	1301	1314	Streptococcus_pyogenes	['NZ_CP033908']
GCF_001865835.1	Bac	200644	49546	76831	1458492	Myroides_sp._ZB35	['NZ_CP017769']
GCF_900128415.1	Bac	1737405	1570339	165779	1870984	Anaerococcus_mediterraneensis	['NZ_LT635772']
GCF_002761235.1	Bac	85004	31953	1678	35760	Bifidobacterium_choerinum	['NZ_CP018044', 'NZ_CP018045']
GCF_000296575.1	Bac	1643686	143786	29521	52584	Brachyspira_pilosicoli	['NC_018607']
GCF_000021425.1	Bac	85004	31953	1678	28025	Bifidobacterium_animalis	['NC_011835']
GCF_003710105.1	Bac	85006	145358	154116	2483799	Georgenia_sp._ZLJ0423	['NZ_CP033325']
GCF_900475385.1	Bac	186826	1300	1301	1302	Streptococcus_gordonii	['NZ_LS483375']
GCF_000332115.1	Bac	200644	49546	363408	328515	Nonlabens_dokdonensis	['NC_020156']
GCF_000400955.1	Bac	186328	2131	2132	216945	Spiroplasma_syrphidicola	['NC_021284']
GCF_000191905.1	Bac	186802	31979	1485	1488	Clostridium_acetobutylicum	['NC_017295', 'NC_017296']
GCF_000767505.1	Bac	186826	1300	1301	1314	Streptococcus_pyogenes	['NZ_CP007240']
GCF_002073995.1	Bac	135623	641	662	190893	Vibrio_coralliilyticus	['NZ_CP020453', 'NZ_CP020454', 'NZ_CP020455', 'NZ_CP020456']
GCF_002220265.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP016755', 'NZ_CP018625', 'NZ_CP018626']
GCF_001865415.1	Bac	213849	72294	194	197	Campylobacter_jejuni	['NZ_CP017860', 'NZ_CP017861']
GCF_002838365.1	Bac	85004	31953	1678	1685	Bifidobacterium_breve	['NZ_CP021391']
GCF_003627275.1	Bac	186826	33958	1578	1599	Lactobacillus_sakei	['NZ_CP032633', 'NZ_CP032634']
GCF_001018685.2	Bac	1385	90964	1279	1280	Staphylococcus_aureus	['NZ_CP026076']
GCF_003555525.1	Bac	1385	186817	1386	492670	Bacillus_velezensis	['NZ_CP032154']
GCF_002082175.1	Bac	85011	2062	1883	1935	Streptomyces_violaceoruber	['NZ_CP020570']
GCF_002165095.2	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP032892', 'NZ_CP032880', 'NZ_CP032881', 'NZ_CP032882', 'NZ_CP032883', 'NZ_CP032884', 'NZ_CP032885', 'NZ_CP032886', 'NZ_CP032887', 'NZ_CP032888', 'NZ_CP032889', 'NZ_CP032890', 'NZ_CP032891']
GCF_004014715.1	Bac	135622	267888	53246	1709477	Pseudoalteromonas_sp._R3	['NZ_CP034835', 'NZ_CP034834']
GCF_001652665.1	Bac	118969	444	445	446	Legionella_pneumophila	['NZ_CP015343']
GCF_001190905.2	Bac	72273	34064	262	657445	Francisella_noatunensis	['NZ_CP012153']
GCF_000830865.1	Bac	213849	72294	194	197	Campylobacter_jejuni	['NZ_CP006689']
GCF_003431885.1	Bac	1385	186817	1386	492670	Bacillus_velezensis	['NZ_CP014838']
GCF_000406765.2	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP011980', 'NZ_CP011984', 'NZ_CP011981', 'NZ_CP011983', 'NZ_CP011982']
GCF_900639555.1	Bac	186826	81852	1350	1352	Enterococcus_faecium	['NZ_LR135372', 'NZ_LR135373', 'NZ_LR135374', 'NZ_LR135375', 'NZ_LR135376', 'NZ_LR135377', 'NZ_LR135378', 'NZ_LR135379', 'NZ_LR135380', 'NZ_LR135381', 'NZ_LR135382', 'NZ_LR135383']
GCF_000816045.1	Bac	91347	1903410	204037	204042	Dickeya_zeae	['NZ_CP006929']
GCF_001971585.1	Bac	186826	33958	1578	1847728	Lactobacillus_allii	['NZ_CP019323', 'NZ_CP019324']
GCF_900149875.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_LT903847']
GCF_002850475.1	Bac	1385	186817	1386	492670	Bacillus_velezensis	['NZ_CP021011']
GCF_900236575.1	Bac	356	118882	234	29459	Brucella_melitensis	['NZ_LT962951', 'NZ_LT962952']
GCF_003850345.1	Bac	72274	135621	286	587753	Pseudomonas_chlororaphis	['NZ_CP027707']
GCF_003606225.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP022963', 'NZ_CP022964', 'NZ_CP022965']
GCF_000017145.1	Bac	356	82115	28105	110321	Sinorhizobium_medicae	['NC_009636', 'NC_009620', 'NC_009621', 'NC_009622']
GCF_001593305.1	Bac	72274	468	497	1699624	Psychrobacter_sp._P11G5	['NZ_CP012533', 'NZ_CP012534', 'NZ_CP012535', 'NZ_CP012536', 'NZ_CP012537', 'NZ_CP012538', 'NZ_CP012539', 'NZ_CP012540']
GCF_003812705.1	Bac	200644	49546	59732	651561	Chryseobacterium_arthrosphaerae	['NZ_CP033811']
GCF_000972685.1	Bac	1385	186817	1386	293387	Bacillus_altitudinis	['NZ_CP011150']
GCF_001409195.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_LN890520', 'NZ_LN890521']
GCF_003568625.1	Bac	85007	85026	2053	36822	Gordonia_rubripertincta	['NZ_CP022580', 'NZ_CP022581']
GCF_002393465.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP023531', 'NZ_CP023530']
GCF_900474735.1	Bac	1385	90964	1279	1280	Staphylococcus_aureus	['NZ_LS483316']
GCF_002151485.1	Bac	136	1643685	64895	139	Borreliella_burgdorferi	['NZ_CP019916', 'NZ_CP019917', 'NZ_CP019919', 'NZ_CP019920', 'NZ_CP019918', 'NZ_CP019921', 'NZ_CP019922', 'NZ_CP019923', 'NZ_CP019924', 'NZ_CP019925', 'NZ_CP019926']
GCF_001900905.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP010228']
GCF_000599545.1	Bac	85007	85025	1827	37919	Rhodococcus_opacus	['NZ_CP003949', 'NZ_CP003950', 'NZ_CP003951', 'NZ_CP003952', 'NZ_CP003953', 'NZ_CP003954', 'NZ_CP003955', 'NZ_CP003956', 'NZ_CP003957', 'NZ_CP003958']
GCF_000021205.1	Bac	1385	186817	1386	1396	Bacillus_cereus	['NC_011725']
GCF_000597865.1	Bac	186802	186804	1481960	1731	Peptoclostridium_acidaminophilum	['NZ_CP007452', 'NZ_CP007453']
GCF_001874125.1	Bac	186826	33958	1578	1590	Lactobacillus_plantarum	['NZ_CP017954', 'NZ_CP017955', 'NZ_CP017956', 'NZ_CP017957', 'NZ_CP017958', 'NZ_CP017959', 'NZ_CP017960']
GCF_000191565.1	Bac	200644	49546	34084	34085	Riemerella_anatipestifer	['NC_017569']
GCF_000226035.2	Bac	72274	135621	286	303	Pseudomonas_putida	['NZ_CP015202']
GCF_000507205.3	Bac	1385	186822	44249	1406	Paenibacillus_polymyxa	['NC_023037']
GCF_000742855.1	Bac	1385	186817	1386	64104	Bacillus_pseudomycoides	['NZ_CP007626', 'NZ_CP007621', 'NZ_CP007622', 'NZ_CP007623', 'NZ_CP007624', 'NZ_CP007625']
GCF_900474705.1	Bac	1385	90964	1279	28035	Staphylococcus_lugdunensis	['NZ_LS483312']
GCF_001879525.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP013113']
GCF_000743255.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP009072', 'NZ_CP009073', 'NZ_CP009074']
GCF_900183405.1	Bac	186826	33958	1578	267363	Lactobacillus_zymae	['NZ_LT854705']
GCF_900474945.1	Bac	186826	1300	1301	1314	Streptococcus_pyogenes	['NZ_LS483521']
GCF_002142615.1	Bac	135623	641	657	38293	Photobacterium_damselae	['NZ_CP021151', 'NZ_CP021152', 'NZ_CP021153', 'NZ_CP021154', 'NZ_CP021155', 'NZ_CP021156']
GCF_900235865.1	Bac	72274	135621	286	317	Pseudomonas_syringae	['NZ_LT962481']
GCF_001721865.1	Bac	80840	75682	963	964	Herbaspirillum_seropedicae	['NZ_CP013136']
GCF_000307125.1	Bac	186802	31979	1485	1491	Clostridium_botulinum	['NC_018648', 'NC_018653']
GCF_002886865.1	Bac	85007	1762	1763	1773	Mycobacterium_tuberculosis	['NZ_CP025607']
GCF_002905795.2	Bac	72274	135621	286	46257	Pseudomonas_avellanae	['NZ_CP026562', 'NZ_CP026563', 'NZ_CP026564', 'NZ_CP026565', 'NZ_CP026566', 'NZ_CP026567']
GCF_000007885.1	Bac	91347	1903411	629	632	Yersinia_pestis	['NC_005810', 'NC_005813', 'NC_005814', 'NC_005815', 'NC_005816']
GCF_002407185.1	Bac	85006	85020	43668	2017484	Brachybacterium_sp._VM2412	['NZ_CP023563']
GCF_900079795.1	Bac	91347	543	544	2019568	Citrobacter_sp._92	['NZ_LT556085']
GCF_003612915.1	Bac	204455	31989	265	147645	Paracoccus_yeei	['NZ_CP031078', 'NZ_CP031079', 'NZ_CP031080', 'NZ_CP031081', 'NZ_CP031082', 'NZ_CP031083', 'NZ_CP031084', 'NZ_CP031085', 'NZ_CP031086']
GCF_002999295.1	Bac	186328	33925	46239	2151	Mesoplasma_florum	['NZ_CP022505']
GCF_000025725.1	Bac	191393	191394	117999	118000	Denitrovibrio_acetiphilus	['NC_013943']
GCF_003515965.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP023436', 'NZ_CP023437', 'NZ_CP023438']
GCF_003454795.1	Bac	204457	41297	165696	1016987	Novosphingobium_sp._THN1	['NZ_CP028347', 'NZ_CP028348']
GCF_000238395.3	Bac	135622	267888	53246	394751	Pseudoalteromonas_arctica	['NZ_CP011025', 'NZ_CP011026', 'NZ_CP011027']
GCF_000827855.1	Bac	135619	28256	235572	91844	Candidatus_Portiera_aleyrodidarum	['NZ_CP007563']
GCF_001975325.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP019405']
GCF_001015095.1	Bac	1385	186817	1386	1423	Bacillus_subtilis	['NZ_CP011534']
GCF_001431725.1	Bac	135619	28256	2745	1178482	Halomonas_huangheensis	['NZ_CP013106']
GCF_000520015.2	Bac	91347	1903411	1745211	1639108	Chania_multitudinisentens	['NZ_CP007044']
GCF_000183665.1	Bac	356	82115	34019	556287	Candidatus_Liberibacter_solanacearum	['NC_014774']
GCF_000473275.1	Bac	91347	543	590	28901	Salmonella_enterica	['NC_022525']
GCF_002215075.1	Bac	1385	186822	55080	54913	Brevibacillus_formosus	['NZ_CP018145']
GCF_000827065.1	Bac	1385	186817	1386	1423	Bacillus_subtilis	['NZ_CP010314']
GCF_004011135.1	Bac	85006	85023	33886	110937	Rathayibacter_festucae	['NZ_CP028137']
GCF_000833355.1	Bac	72273	34064	262	263	Francisella_tularensis	['NZ_CP009607']
GCF_000164905.1	Bac	32069	64898	939	940	Hydrogenobacter_thermophilus	['NC_017161']
GCF_001941565.1	Bac	85007	1653	1716	161895	Corynebacterium_phocae	['NZ_CP009249', 'NZ_CP009250']
GCF_000014905.1	Bac	332160	332161	332162	332163	Candidatus_Solibacter_usitatus	['NC_008536']
GCF_000739395.1	Bac	200644	49546	237	96345	Flavobacterium_psychrophilum	['NZ_CP007627']
GCF_001865655.1	Bac	200644	49546	252356	1644130	Maribacter_sp._1_2014MBL_MicDiv	['NZ_CP011318']
GCF_002761275.1	Bac	186826	81852	1350	1352	Enterococcus_faecium	['NZ_CP017797', 'NZ_CP017798', 'NZ_CP017799', 'NZ_CP017800', 'NZ_CP017801']
GCF_001900965.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP010236']
GCF_000091305.1	Bac	85011	2062	1883	1930	Streptomyces_scabiei	['NC_013929']
GCF_002192475.1	Bac	72274	135621	286	287	Pseudomonas_aeruginosa	['NZ_CP021774']
GCF_003970735.1	Bac	204455	31989	1955420	1826607	Silicimonas_algicola	['NZ_CP034588']
GCF_003612795.1	Bac	135619	28256	2745	272774	Halomonas_alkaliphila	['NZ_CP024811']
GCF_002111005.1	Bac	80840	119060	32008	28450	Burkholderia_pseudomallei	['NZ_CP018404', 'NZ_CP018405']
GCF_900477975.1	Bac	85007	1653	1716	38289	Corynebacterium_jeikeium	['NZ_LS483459']
GCF_900236475.1	Bac	85011	2062	1883	1969	Streptomyces_chartreusis	['NZ_LT963352']
GCF_003717285.1	Bac	91347	543	590	28901	Salmonella_enterica	['NZ_CP029945']
GCF_000022345.1	Bac	91347	543	561	562	Escherichia_coli	['NC_012759']
GCF_003047065.1	Bac	186826	33958	1578	1579	Lactobacillus_acidophilus	['NZ_CP020620']
GCF_003665555.1	Bac	91347	543	544	67827	Citrobacter_werkmanii	['NZ_CP024675']
GCF_001515745.1	Bac	1385	90964	1279	1280	Staphylococcus_aureus	['NZ_CP012011']
GCF_002951575.1	Bac	206351	481	482	487	Neisseria_meningitidis	['NZ_CP018907']
GCF_002140115.1	Bac	1385	90964	1279	1280	Staphylococcus_aureus	['NZ_CP015817', 'NZ_CP015818']
GCF_001714705.1	Bac	85009	31957	1912216	33010	Cutibacterium_avidum	['NZ_CP016954']
GCF_003812325.1	Bac	91347	543	544	546	Citrobacter_freundii	['NZ_CP033742']
GCF_003290425.1	Bac	91347	543	570	244366	Klebsiella_variicola	['NZ_CP016344']
GCF_003855175.1	Bac	206351	481	482	485	Neisseria_gonorrhoeae	['NZ_CP034017', 'NZ_CP034016']
GCF_002998435.1	Bac	171549	815	816	28119	Bacteroides_zoogleoformans	['NZ_CP027231']
GCF_003391395.1	Bac	85007	1762	1763	1781	Mycobacterium_marinum	['NZ_CP024190']
GCF_001610635.1	Bac	85007	1762	670516	36809	Mycobacteroides_abscessus	['NZ_CP014959']
GCF_001887995.2	Bac	91347	543	570	573	Klebsiella_pneumoniae	['NZ_CP031885', 'NZ_CP031882', 'NZ_CP031883', 'NZ_CP031884']
GCF_001989255.1	Bac	80840	506	517	520	Bordetella_pertussis	['NZ_CP013903']
GCF_002999155.1	Bac	85007	85029	37914	712270	Dietzia_sp._oral_taxon_368	['NZ_CP027238', 'NZ_CP027239', 'NZ_CP027240']
GCF_001700945.1	Bac	85007	85025	1827	1033922	Rhodococcus_sp._WB1	['NZ_CP015529', 'NZ_CP015530']
GCF_004010655.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP034799', 'NZ_CP034800']
GCF_002142715.1	Bac	91347	543	561	562	Escherichia_coli	['NZ_CP021207', 'NZ_CP021208', 'NZ_CP021209', 'NZ_CP021210']
GCF_001697765.1	Bac	206351	481	482	487	Neisseria_meningitidis	['NZ_CP016667']
GCF_000009285.1	Bac	80840	119060	106589	106590	Cupriavidus_necator	['NC_008313', 'NC_008314', 'NC_005241']
GCF_003143915.1	Bac	186826	33958	1578	1590	Lactobacillus_plantarum	['NZ_CP029349', 'NZ_CP029350']
GCF_001931635.1	Bac	85011	2062	1883	1661694	Streptomyces_sp._Tue_6075	['NZ_CP010833']
GCF_000833125.1	Bac	1385	186817	1386	1392	Bacillus_anthracis	['NZ_CP010322', 'NZ_CP010321', 'NZ_CP010320']
GCF_000019525.1	Bac	135622	267890	22	60961	Shewanella_woodyi	['NC_010506']
GCF_003991175.1	Bac	1385	186817	1386	1428	Bacillus_thuringiensis	['NZ_CP021436', 'NZ_CP021441', 'NZ_CP021440', 'NZ_CP021438', 'NZ_CP021439', 'NZ_CP021437', 'NZ_CP021444', 'NZ_CP021443', 'NZ_CP021442']
GCF_002447955.1	Bac	85007	1762	1763	1773	Mycobacterium_tuberculosis	['NZ_CP023627']
GCF_002848625.1	Bac	186826	81852	1350	1352	Enterococcus_faecium	['NZ_CP023780', 'NZ_CP023781', 'NZ_CP023782', 'NZ_CP023783']
GCF_000027345.1	Bac	2085	2092	2093	2104	Mycoplasma_pneumoniae	['NC_000912']
GCF_000756435.2	Bac	72273	135616	1237	1238	Piscirickettsia_salmonis	['NZ_CP012413', 'NZ_CP012414', 'NZ_CP012415', 'NZ_CP012416', 'NZ_CP012417']
GCF_003627295.1	Bac	186826	33958	1578	1589	Lactobacillus_pentosus	['NZ_CP032654', 'NZ_CP032655', 'NZ_CP032656', 'NZ_CP032657', 'NZ_CP032658']
